cod_enc,city,school,cod_inst,gender,ida_time,ida_time_g1,ida_bythemself,vuelta_bythemself,parent_studies,family_vehicle,household_income,walk,mode_ida,mode_vuelta,mode_ida_g1,mode_vuelta_g1,mode_ida_g2,mode_vuelta_g2,mode_active,motiv_modo_distancia,motiv_modo_seguridad_vial,motiv_modo_seguridad_personal,motiv_modo_relaciones_sociales,motiv_modo_costo,motiv_modo_salud,motiv_modo_conveniencia,motiv_modo_na,preocupa_distancia,preocupa_trafico,preocupa_velocidad,preocupa_tiempo,preocupa_seguridad_cruces,preocupa_falta_policias,preocupa_violencia,preocupa_frio_calor,preocupa_lluvia,preocupa_peso,preocupa_falta_otros_adultos,preocupa_aceras,preocupa_falta_otros_ninos,preocupa_aburrido_caminar,preocupa_falta_otros_adultos_bici,preocupa_falta_ciclovias,preocupa_falta_lugares_bici,preocupa_falta_otrosninos_bici,preocupa_aburrido_bici,bnfam_obesity,bnfam_cvrisk,bnfam_traffic,bnfam_academic,bnfam4l_obesity,bnfam4l_cvrisk,bnfam4l_traffic,bnfam4l_academic,improve_menor_distancia,improve_menor_trafico,improve_seguridad_intersecciones,improve_menor_crimen,improve_mas_gente,improve_veredas,improve_ciclovia,improve_lugares_bici,improve_masninos_bici,dens_cat,emaps_cat
LC_044,Cuenca,Luis Cordero,01H00481,NA,>60,more_15,No,No,Yes,Yes,mid,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,0,1,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,A lot,A lot,A lot,Some,Some,A lot,A lot,Some,Some,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Somehow agree,Somehow agree,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
LC_045,Cuenca,Luis Cordero,01H00481,Female,6-15,less_15,No,No,Yes,Yes,mid,Yes,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Somehow agree,No,No,No,No,No,No,No,No,No,High,High
NS_036,Cuenca,Nicolás Sojos,01H00892,Female,NA,NA,No,No,Yes,NA,NA,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,0,1,NA,A little,NA,NA,A lot,A lot,A lot,NA,NA,NA,A lot,A lot,A lot,NA,NA,NA,NA,NA,NA,Disagree,Disagree,Disagree,Disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
LC_046,Cuenca,Luis Cordero,01H00481,Male,31-60,more_15,No,Yes,No,No,mid,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,0,0,0,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
NS_035,Cuenca,Nicolás Sojos,01H00892,Female,16-30,more_15,No,No,Yes,NA,mid,Yes,School bus,School bus,School bus,School bus,Motorised,Motorised,No,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,Low
I-ABP-001,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,No,Yes,Yes,No,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,0,0,1,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,High,Low
NS_034,Cuenca,Nicolás Sojos,01H00892,Male,6-15,less_15,No,No,Yes,NA,NA,Yes,Walk,Walk,Active,Active,Active,Active,Yes,1,0,0,0,0,0,0,0,Not at all,A lot,NA,NA,NA,NA,Not at all,Not at all,NA,NA,A lot,NA,A lot,NA,A lot,NA,NA,NA,NA,Disagree,Disagree,Disagree,Disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,NA,Yes,NA,Yes,No,Yes,Yes,Yes,Yes,Low,Low
LC_047,Cuenca,Luis Cordero,01H00481,NA,6-15,less_15,No,No,Yes,Yes,low,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,NA,Disagree,Disagree,Disagree,NA,Somehow disagree,Somehow disagree,Somehow disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High
LC_048,Cuenca,Luis Cordero,01H00481,Male,6-15,less_15,No,No,Yes,No,mid,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,Some,Some,Some,Not at all,A lot,A lot,A lot,Some,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Somehow agree,NA,NA,Yes,Yes,Yes,NA,Yes,NA,NA,High,High
NS_033,Cuenca,Nicolás Sojos,01H00892,Female,16-30,more_15,No,No,Yes,Yes,mid,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,Some,A lot,Some,Some,Some,A lot,A lot,A lot,A lot,A lot,Disagree,Disagree,Disagree,Disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,No,No,No,No,No,No,No,No,No,Low,Low
